道路區塊,鄉鎮,路名1,路名2,起點路口,迄點路口,道路區塊總面積,路長,路寬,道路轄管,道路類型,投影面積,交通量,投影比例,申請路政,挖掘面積,平均溫度,強降雨,搶修案件,液化潛勢,管線衝突點,淺埋位置回報,埋深,埋深=0,埋深>0,埋深>0.3m且埋深<1.2m,PCI分數
TW001631,淡水區, , , , ,4041.17,710.5,5.7,區,路段,,低,0.00%,0,NULL,10,98,,NULL,NULL,,低,NULL,NULL,NULL,43.47818
TW001632,淡水區,新興路, , ,新興路,15.46,2.3,6.7,區,路段,,低,0.00%,1,4107.6,10,98,,NULL,NULL,,低,NULL,NULL,NULL,100
TW001636,淡水區, , ,淡金路五段(淡金公路), ,40603.4,5051.5,8,區,路段,111.8282448,低,0.28%,4,1618.84,10,98,3,NULL,16,,高,35,NULL,11,85.82708
TW001637,淡水區, , ,淡金路五段(淡金公路), ,34933.51,5241.9,6.7,區,路段,127.1205213,低,0.36%,1,1.8,10,98,10,NULL,63,,高,35,NULL,31,74.77352
TW001638,淡水區,北新路三段, ,北新路三段,北新路,6909.32,708.6,9.8,市,路段,42.01583481,中,0.61%,2,8.2,10,11,,NULL,8,,低,8,1,3,88.66966
TW001639,淡水區,北新路, ,北新路三段,北新路,130.79,13.1,10,市,路段,9.873294863,中,7.55%,0,NULL,10,11,,NULL,1,,低,3,1,NULL,100
TW003984,淡水區, , ,新市八路三段, ,21424.14,2690.1,8,區,路段,28.81687503,低,0.13%,9,4143.42,10,11,1,NULL,2,,低,14,NULL,3,59.12053
TW003985,淡水區,新市八路三段, ,淡金路三段(淡金公路), ,7344.21,823.8,8.9,區,路段,10.57181662,中,0.14%,0,NULL,10,11,,NULL,6,,低,4,NULL,NULL,52.7755
TW006254,淡水區,中山路, ,大仁街,中山路,4563.56,267.9,16.2,市,路段,,高,0.00%,4,565.6,10,11,1,NULL,205,,高,NULL,NULL,17,76.73231
TW006255,淡水區,中山北路一段, ,中山北路二段,水碓街,7683.88,614.4,20.4,區,路段,,高,0.00%,6,49.16,10,11,,NULL,219,,中,NULL,2,4,80.22209
TW006256,淡水區,中山北路二段, ,新市二路四段,中山北路二段,1899.33,345.2,9.1,區,路段,,中,0.00%,3,1947.8,10,11,,NULL,20,,低,NULL,NULL,2,100
TW006258,淡水區,中山北路一段, ,中山北路二段,水碓街,4859.94,614.4,20.4,市,路段,,高,0.00%,1,2.4,10,11,,NULL,223,,低,NULL,2,1,67.98701
WG000327,五股區,孝義路, ,凌雲路三段田埔巷,孝義路,10493.88,2278.5,4.6,區,路段,3.346506541,低,0.03%,0,NULL,10,102,,NULL,2,,低,3,NULL,3,91.18874
WG000328,五股區,凌雲路二段, ,凌雲路三段,凌雲路二段,6977.04,773.4,9,區,路段,,中,0.00%,0,NULL,10,102,,NULL,4,,低,NULL,NULL,1,94.05896
WG000329,五股區,凌雲路一段, ,凌雲路二段,成泰路三段,5581.95,452.4,12.3,區,路段,3.496094126,中,0.06%,7,43.36,10,102,,3,87,,低,4,NULL,1,83.76964
WG000330,五股區,凌雲路二段, ,凌雲路二段,凌雲路一段,753.81,65.2,11.6,區,路段,,中,0.00%,0,NULL,10,102,,NULL,NULL,,低,NULL,NULL,3,90.61135
WG000331,五股區,御史路二段, ,御史路二段,御史路一段,8368.68,1324.3,6.3,區,路段,0.696236977,低,0.01%,1,2.6,10,102,,NULL,6,,低,2,NULL,NULL,94.45468
WG000332,五股區,御史路一段, ,御史路二段,御史路一段,10478.73,1604.9,6.5,區,路段,10.67979129,低,0.10%,0,NULL,10,102,,NULL,6,,低,5,NULL,NULL,94.2379
WG000333,五股區,五林路, ,民義路二段,粉寮路二段,12439.06,1224.2,10.2,市,路段,,中,0.00%,0,NULL,10,5,,NULL,NULL,,低,NULL,NULL,NULL,68.7413
WG000335,五股區,民義路二段, ,五林路,民義路一段,26734.41,2836.7,9.4,市,路段,10.25312186,中,0.04%,2,3.46,10,5,,NULL,26,,低,9,NULL,NULL,85.30338
WG000337,五股區,民義路一段, ,民義路二段,民義路一段,9639.85,1094.3,8.8,市,路段,35.47237876,中,0.37%,2,7.28,10,102,,NULL,12,,低,13,NULL,NULL,77.90937
WG000338,五股區,壟鉤路, ,民義路二段,壟鉤路,8627.25,1394.1,6.2,區,路段,5.635508471,低,0.07%,2,5.1,10,6,,NULL,20,,低,6,NULL,NULL,74.56684
WG000341,五股區,凌雲路三段, ,凌雲路三段,凌雲路二段,42494.47,5481.1,7.8,區,路段,58.78364947,低,0.14%,4,43.34,10,102,,NULL,51,,低,25,NULL,NULL,92.99479
WG000357,五股區,中興路四段, ,民義路一段,成泰路二段,261.37,21,12.4,市,路段,,中,0.00%,0,NULL,10,102,,3,7,,低,NULL,NULL,NULL,100
WG000375,五股區,民航局私用道路, ,民航局私用道路,外寮路,5239.32,1456.1,3.6,區,路段,63.26464035,低,1.21%,2,4,10,6,,NULL,62,,低,20,NULL,1,100
WG000458,五股區,壟鉤路, ,壟鉤路,外寮路,5362.75,880.9,6.1,區,路段,,低,0.00%,0,NULL,10,6,,NULL,2,,低,NULL,NULL,1,92.6931
WG000462,五股區,御史路一段, ,御史路一段,成泰路三段,6012.12,871.2,6.9,區,路段,9.707518068,低,0.16%,9,49.12,10,102,,3,178,,低,7,NULL,4,69.47917
WG000464,五股區,四維路, ,中山二路,中興路一段,5736.89,375.7,15.3,市區,路段,56.74678162,中,0.99%,3,104.85,10,102,,2,53,,低,16,NULL,3,62.36695
WG000466,五股區,四維路, ,中興路一段,疏洪東路三段,4357.06,293.8,14.8,區,路段,13.5233747,中,0.31%,1,3.6,10,102,1,2,27,,低,10,2,3,73.56735
WG000480,五股區,凌雲路一段, ,成泰路三段,三號越堤道,1006.28,91.3,11,區,路段,0.004081148,中,0.00%,0,NULL,10,102,,2,14,,低,5,NULL,NULL,79.37565
WG000484,五股區,孝義路, ,孝義路,成泰路三段,5461.23,681.1,8,區,路段,3.023425299,低,0.06%,1,1.8,10,102,,3,16,,低,3,NULL,1,95.8783
WG000485,五股區,洲后路, ,成泰路三段,洲后路,20815.68,886.2,23.5,市,路段,84.36240605,高,0.41%,1,3.24,10,102,,2,22,,低,13,NULL,1,100
WG000488,五股區,成泰路三段, ,凌雲路一段,成泰路二段,28565.56,1859.7,15.4,市,路段,0.188712246,中,0.00%,28,615.52,10,102,,2,567,,高,10,5,56,69.01893
WG000489,五股區,成泰路二段, ,成泰路三段,工商路,5109.56,355.6,14.4,市,路段,,中,0.00%,3,18.45,10,102,,3,123,,中,NULL,NULL,6,48.90079
WG000490,五股區,成泰路二段, ,工商路,中興路四段,2314.85,191.9,12.1,市,路段,,中,0.00%,1,0.72,10,102,,2,124,,低,NULL,NULL,NULL,83.28102
WG000492,五股區,成泰路一段, ,中興路四段,成泰路一段,4085.16,335.5,12.2,市,路段,,中,0.00%,4,79.17,10,102,,2,99,,中,NULL,NULL,6,62.3417
WG000493,五股區,成泰路一段, ,成泰路一段,明志路一段,20145.56,1609.1,12.5,市,路段,56.50359971,中,0.28%,12,221.41,10,6,,2,372,,高,28,NULL,16,63.23721
